City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
277,mahdia,35.5047,11.0622,14.97,42,86,6.56,TN,1707254433
278,baise city,23.8997,106.6133,11.25,83,100,0.92,CN,1707254433
279,la foa,-21.7108,165.8276,26.62,77,100,2.1,NC,1707254433
280,saint-pierre,-21.3393,55.4781,23.82,64,0,2.57,RE,1707254434
281,chernyshevskiy,63.0128,112.4714,-29.84,100,82,1.43,RU,1707254434
282,port hedland,-20.3167,118.5667,27.03,78,19,2.57,AU,1707254360
283,san patricio,28.017,-97.5169,21.97,42,0,1.96,US,1707254192
284,launceston,-41.45,147.1667,12.67,81,0,2.06,AU,1707254076
285,linqu,36.5156,118.5397,-3.69,86,5,1.8,CN,1707254434
286,sechura,-5.5569,-80.8222,29.41,61,45,5.65,PE,1707254434
287,bardai,11.65,7.2333,19.96,20,67,5.25,NG,1707254434
288,yanam,16.7333,82.2167,20.38,95,0,1.04,IN,1707254315
289,makurazaki,31.2667,130.3167,11.29,73,100,5.74,JP,1707254435
290,lazaro cardenas,17.9583,-102.2,28.57,60,7,3.8,MX,1707254224
291,diu,20.7141,70.9822,22.64,52,5,3.89,IN,1707254435
292,riverhead,40.917,-72.662,5.1,63,0,2.06,US,1707254435
293,guanica,17.9716,-66.908,27.18,64,92,4.65,PR,1707254435
294,hovd,48.0056,91.6419,-21.19,96,43,0.63,MN,1707254435
295,menongue,-14.6585,17.691,17.61,95,65,1.64,AO,1707254435
296,obo,5.3998,26.4869,23.51,23,0,2.56,CF,1707254435
297,haiku-pauwela,20.9219,-156.3051,24.54,67,20,9.77,US,1707254229
298,pokhara,28.2333,83.9833,10.22,50,35,2.49,NP,1707254435
299,teknaf,20.8624,92.3058,19.37,77,0,2.6,BD,1707254436
300,conceicao da barra,-18.5933,-39.7322,26.49,82,100,2.81,BR,1707254436
301,veneux-les-sablons,48.3787,2.795,11.03,87,100,7.3,FR,1707254436
302,piacabucu,-10.4056,-36.4344,27.46,75,92,5.19,BR,1707254436
303,veselynove,47.3567,31.2349,7.81,70,100,4.56,UA,1707254436
304,colonia,50.9333,6.95,12.36,71,40,9.26,DE,1707254019
305,kalemie,-5.9475,29.1947,21.36,88,93,1.63,CD,1707254436
306,forster,-32.1667,152.5167,19.6,100,100,4.83,AU,1707254198
307,okha,53.5739,142.9478,-22.94,98,63,4.7,RU,1707254437
308,barakani,-12.1356,44.4317,27.86,84,42,4.34,KM,1707254437
309,sault ste. marie,46.5168,-84.3333,1.31,86,100,3.09,CA,1707254204
310,embi,48.8264,58.1442,-5.04,93,100,11.76,KZ,1707254437
311,al mishkhab,31.8042,44.4911,12.06,52,56,2.33,IQ,1707254437
312,wieliczka,49.9874,20.0647,9.97,60,100,2.68,PL,1707254437
313,santa cruz,-17.8,-63.1667,33.03,52,40,6.69,BO,1707254437
314,buka,40.8108,69.1986,8.11,34,100,3.19,UZ,1707254437
315,acarau,-2.8856,-40.12,28.14,77,90,7.86,BR,1707254225
316,nikolayevsk-on-amure,53.1406,140.73,-22.45,99,96,1.66,RU,1707254437
317,yanchep,-31.55,115.6833,21.07,39,1,6.36,AU,1707254437
318,tarko-sale,64.9225,77.785,-16.74,100,82,2.91,RU,1707254438
319,morehead,37.2711,-87.1764,11.66,59,0,1.34,US,1707254360
320,sitka,57.0531,-135.33,2.94,87,75,2.57,US,1707254203
321,arnprior,45.4334,-76.3494,0.83,86,85,0.76,CA,1707254438
322,tateyama,34.9833,139.8667,5.61,69,100,5.44,JP,1707254438
323,viana,-20.3903,-40.4961,24.87,95,100,1.54,BR,1707254438
324,ta`u,-14.2336,-169.5144,27.65,88,100,8.26,AS,1707254218
325,shakawe,-18.3667,21.85,19.56,87,100,2.71,BW,1707254438
326,galliano,29.4422,-90.2992,21.67,48,0,4.6,US,1707254438
327,peace river,56.2501,-117.286,-5.83,73,100,2.57,CA,1707254438
328,malpica,43.3228,-8.8105,12.96,73,100,5.73,ES,1707254438
329,ha tinh,18.3333,105.9,21.8,96,72,0.71,VN,1707254438
330,camana,-16.6228,-72.7111,25.61,78,60,2.32,PE,1707254438
331,smithers,54.7804,-127.1743,-2.82,80,100,1.03,CA,1707254439
332,olyokminsk,60.3736,120.4264,-16.28,99,99,0.93,RU,1707254439
333,necochea,-38.5473,-58.7368,31.19,49,53,9.77,AR,1707254439
334,maintirano,-18.0667,44.0167,26.93,85,99,3.02,MG,1707254439
335,karratha,-20.7377,116.8463,26.78,69,46,1.02,AU,1707254289
336,yigo village,13.5361,144.8886,25.16,79,0,5.66,GU,1707254439
337,alice town,25.7167,-79.3,19.64,73,100,15.36,BS,1707254439
338,anahuac,27.2333,-100.15,22.26,32,6,5.2,MX,1707254439
339,itaituba,-4.2761,-55.9836,32.09,66,20,2.57,BR,1707254439
340,kiunga,-6.1219,141.2906,23.03,99,100,1.71,PG,1707254440
341,niksic,42.7731,18.9445,3.92,97,100,0.87,ME,1707254440
342,kavaratti,10.5669,72.642,27.8,75,4,3.24,IN,1707254199
343,serowe,-22.3833,26.7167,25.07,35,4,1.69,BW,1707254440
344,anisoc,1.8658,10.7689,23.53,89,61,0.8,GQ,1707254440
345,lexington,37.9887,-84.4777,11.0,46,0,3.09,US,1707254309
346,howard springs,-12.497,131.047,27.95,96,34,2.07,AU,1707254440
347,murwillumbah,-28.3167,153.4,24.43,100,100,4.12,AU,1707254440
348,kill devil hills,36.0307,-75.676,6.66,65,0,10.29,US,1707254279
349,ciudad lazaro cardenas,17.9583,-102.2,28.57,60,7,3.8,MX,1707254146
350,igarka,67.4667,86.5833,-14.08,95,100,5.51,RU,1707254441
351,gabu,12.2833,-14.2167,29.26,15,0,0.93,GW,1707254298
352,kailaras,26.3167,77.6167,13.3,48,99,1.88,IN,1707254441
353,jiquilisco,13.3167,-88.5833,32.05,37,0,3.64,SV,1707254441
354,salalah,17.0151,54.0924,23.05,64,0,2.06,OM,1707254442
355,yaren,-0.5472,166.916,29.01,73,100,5.8,NR,1707254442
356,tarfaya,27.9358,-12.9218,18.62,65,12,7.38,MA,1707254442
357,yarmouth,41.7057,-70.2286,2.03,84,100,8.94,US,1707254207
358,san pedro pochutla,15.7333,-96.4667,29.84,49,13,3.38,MX,1707254253
359,basco,20.4487,121.9702,24.23,82,29,5.03,PH,1707254443
360,berezovskiy,55.6,86.2,-4.77,98,96,1.49,RU,1707254443
361,sarina,-21.4333,149.2167,28.67,1,24,2.6,AU,1707254443
